,CaseOrder,Customer_id,Interaction,UID,Children,Age,Income,Gender,Churn,Outage_sec_perweek,Yearly_equip_failure,MonthlyCharge,Bandwidth_GB_Year,gender_dummy,churn_dummy,Intercept
0,1,K409198,aa90260b-4141-4a24-8e36-b04ce1f4f77b,e885b299883d4f9fb18e39c75155d990,0,68,28561.99,Male,No,7.978322947,1,172.455519,904.5361102,0,0,1
1,2,S120509,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,f2de8bef964785f41a2959829830fb8a,1,27,21704.77,Female,Yes,11.69907956,1,242.632554,800.9827661,1,1,1
2,3,K191035,344d114c-3736-4be5-98f7-c72c281e2d35,f1784cfa9f6d92ae816197eb175d3c71,4,50,9609.57,Female,No,10.75280028,1,159.947583,2054.706961,1,0,1
3,4,D90850,abfa2b40-2d43-4994-b15a-989b8c79e311,dc8a365077241bb5cd5ccd305136b05e,1,48,18925.23,Male,No,14.91353964,0,119.95684,2164.579412,0,0,1
4,5,K662701,68a861fd-0d20-4e51-a587-8a90407ee574,aabb64a116e83fdc4befc1fbab1663f9,0,83,40074.19,Male,Yes,8.147416533,1,149.948316,271.4934362,0,1,1
5,6,W303516,2b451d12-6c2b-4cea-a295-ba1d6bced078,97598fd95658c80500546bc1dd312994,3,83,22660.2,Female,No,8.420992898,1,185.007692,1039.357983,1,0,1
6,7,U335188,6630d501-838c-4be4-a59c-6f58c814ed6a,87d1c4223e49156020564c01a88973b9,0,79,11467.5,Male,Yes,11.18272453,1,200.118516,1907.242972,0,1,1
7,8,V538685,70ddaa89-b726-49dc-9022-2d655e4c7936,fce3f21888317907de42e298d718ccce,2,30,26759.64,Female,Yes,7.791632265,0,114.950905,979.6127078,1,1,1
8,9,M716771,05a49ee3-8fd5-453a-a5f3-82b6cd986856,6c7043ced703b84de29766af3d53c976,2,49,58634.51,Nonbinary,No,5.739005915,3,117.468591,1312.874964,0,0,1
9,10,I676080,86f17e4d-2c24-4b70-a6ec-dddf0609dbaa,6ffe183271258a039e122ced8750b2a0,1,86,50231.4,Female,No,8.707823904,0,162.482694,508.7637913,1,0,1
